iter	Logloss
213	0.4227764404
214	0.422665741
215	0.4225711914
216	0.4225090271
217	0.4224282043
218	0.4223572876
219	0.422279541
220	0.4222013428
221	0.4221490784
222	0.4220820068
223	0.4219990234
224	0.4219290405
225	0.4218258911
226	0.4217298157
227	0.4216529175
228	0.4215648437
229	0.4214928345
230	0.4214552673
231	0.4213801758
232	0.4212848206
233	0.4212004578
234	0.4211290283
235	0.4210513733
236	0.42093703
237	0.42085495
238	0.4207326416
239	0.4206635071
240	0.4205695984
241	0.4205055969
242	0.4204532959
243	0.4203928406
244	0.4203059692
245	0.4202273804
246	0.4201569641
247	0.420085144
248	0.4200017029
249	0.4198762451
250	0.4198045593
251	0.4197310913
252	0.4196766602
253	0.4196109253
254	0.4195387268
255	0.4194703674
256	0.4194230286
257	0.4193677612
258	0.4193113098
259	0.4192415771
260	0.4191780518
261	0.4190639893
262	0.418999823
263	0.418930957
264	0.4188634277
265	0.4187865234
266	0.418709491
267	0.4186354858
268	0.418566272
269	0.4184749268
270	0.4183705627
271	0.4183007263
272	0.4182145996
273	0.4181238037
274	0.4180601196
275	0.4179895813
276	0.4179309326
277	0.4178736267
278	0.4177738831
279	0.4177222534
280	0.4176423462
281	0.4175804504
282	0.4175340454
283	0.4174803833
284	0.4174093506
285	0.4173920349
286	0.4173424072
287	0.4172747559
288	0.417175708
289	0.4171185486
290	0.417060675
291	0.4170500183
292	0.4169801392
293	0.4168994202
294	0.4168049988
295	0.4167300964
296	0.4166752197
297	0.4166103943
298	0.4165263611
299	0.4164720825
300	0.4163866516
301	0.4163283203
302	0.4162474121
303	0.4162008911
304	0.4161344482
305	0.4160611877
306	0.4159865662
307	0.4159158386
308	0.4158405762
309	0.415785733
310	0.4157291626
311	0.415635614
312	0.4155569397
313	0.4154746307
314	0.4154147644
315	0.4153365112
316	0.4152889221
317	0.4152626282
318	0.4151861115
319	0.4151337341
320	0.4150601257
321	0.4150026703
322	0.4149538757
323	0.414891275
324	0.414849173
325	0.4148402985
326	0.4147812744
327	0.4146770905
328	0.4145940918
329	0.4145470734
330	0.4144653748
331	0.4143898743
332	0.4143220215
333	0.4142803955
334	0.4142243988
335	0.4141651428
336	0.4140986023
337	0.4140167023
338	0.413925296
339	0.4138668945
340	0.4138120789
341	0.4137523407
342	0.4136915344
343	0.4136394135
344	0.4135661957
345	0.413525531
346	0.4134669586
347	0.4133987854
348	0.4133166351
349	0.4132657349
350	0.4131981873
351	0.4131389862
352	0.4130635406
353	0.4129926849
354	0.4129447968
355	0.4128853241
356	0.4128145142
357	0.4127503601
358	0.4126878479
359	0.4126171021
360	0.4125376953
361	0.4124748688
362	0.4124021271
363	0.4123371429
364	0.4122614655
365	0.4121845276
366	0.4121199707
367	0.4120406219
368	0.4119601349
369	0.4118914062
370	0.4118432556
371	0.4117733246
372	0.4117002045
373	0.4116471741
374	0.4116025299
375	0.4115671356
376	0.4115186127
377	0.4114732544
378	0.4114253052
379	0.4113757629
380	0.4113197021
381	0.4112869324
382	0.4112161346
383	0.4111492096
384	0.4111082886
385	0.4110569519
386	0.4110042908
387	0.4109386688
388	0.4108742126
389	0.4108218262
390	0.4107725647
391	0.4107022095
392	0.410638562
393	0.4106180481
394	0.4105717896
395	0.4105585999
396	0.4105160156
397	0.4104568665
398	0.4104120544
399	0.4103754181
400	0.4102865753
401	0.4102233826
402	0.4101649078
403	0.4100964905
404	0.4100402863
405	0.4099789154
406	0.4099269714
407	0.4098559845
408	0.4098009552
409	0.4097464691
410	0.4096862793
411	0.4096319061
412	0.4095705872
413	0.4095285248
414	0.4094906952
415	0.4094156586
416	0.4093667236
417	0.4093346436
418	0.4092888123
419	0.409240567
420	0.4092308136
421	0.4091542023
422	0.4090987213
423	0.4090592987
424	0.409039389
425	0.4089707642
426	0.408888858
427	0.4088389954
428	0.4087932434
429	0.4087473419
430	0.4086878662
431	0.408637912
432	0.4086057007
433	0.4085464386
434	0.408491629
435	0.4084455048
436	0.4083929077
437	0.4083353119
438	0.408260202
439	0.4082425659
440	0.4081843658
441	0.4081247772
442	0.408087616
443	0.408032962
444	0.4079831207
445	0.4078976868
446	0.4078370178
447	0.4077649994
448	0.4077295868
449	0.4076844818
450	0.4076761871
451	0.4076178925
452	0.4075779572
453	0.4075427124
454	0.4074902985
455	0.4074182678
456	0.4073295013
457	0.4072725983
458	0.4072056305
459	0.4071677795
460	0.4071307892
461	0.4071126068
462	0.4070555298
463	0.4070026855
464	0.4069388733
465	0.406872641
466	0.4068073639
467	0.4067749573
468	0.4067178192
469	0.406645282
470	0.4065849335
471	0.4065156158
472	0.4064541656
473	0.4063956085
474	0.4063349792
475	0.4062664978
476	0.406215921
477	0.4061752441
478	0.4061223938
479	0.4061036285
480	0.4060661377
481	0.4060105133
482	0.4059635834
483	0.4059027191
484	0.4058423645
485	0.4057932678
486	0.4057290985
487	0.4056954803
488	0.4056312714
489	0.4055625977
490	0.4055326019
491	0.405508905
492	0.4054733093
493	0.4054562653
494	0.4054303314
495	0.4053795654
496	0.4053216705
497	0.4052669922
498	0.4052200867
499	0.4051407043
500	0.4050911438
501	0.4050220428
502	0.4050015076
503	0.404955072
504	0.4048911102
505	0.4048372894
506	0.4047756622
507	0.4047177063
508	0.4046812225
509	0.4046255798
510	0.404576001
511	0.4045146088
512	0.4044687988
513	0.404436261
514	0.4043873779
515	0.404340448
516	0.4042766479
517	0.4042174896
518	0.4041615082
519	0.4041184204
520	0.404059552
521	0.4039777588
522	0.4039064056
523	0.4038721008
524	0.4038414093
525	0.403801651
526	0.4037721039
527	0.4037152252
528	0.4037089783
529	0.4037036926
530	0.4036581848
531	0.4036010864
532	0.4035494049
533	0.4034952789
534	0.4034600952
535	0.4034092255
536	0.4033733521
537	0.4033344269
538	0.4032801239
539	0.4032448853
540	0.4031981934
541	0.4031423523
542	0.4030863281
543	0.4030304199
544	0.4029749786
545	0.4029355988
546	0.402922464
547	0.4028598633
548	0.4028153992
549	0.4027697571
550	0.4027161835
551	0.402686203
552	0.4026294586
553	0.4025688049
554	0.4025238617
555	0.4025193481
556	0.4024824615
557	0.4024253845
558	0.4023768524
559	0.4023207855
560	0.4022652191
561	0.4022322754
562	0.4021950684
563	0.4021546478
564	0.4020986511
565	0.4020540588
566	0.4020033569
567	0.4019477417
568	0.401893219
569	0.4018534241
570	0.401848999
571	0.4018094574
572	0.4017627899
573	0.4017221161
574	0.401693924
575	0.4016560577
576	0.4016096741
577	0.4015669128
578	0.4015007507
579	0.4014618073
580	0.4013984253
581	0.4013291718
582	0.4013039185
583	0.4012535126
584	0.4011993713
585	0.4011626526
586	0.4011298828
587	0.4011105713
588	0.401069278
589	0.4010228851
590	0.4009745209
591	0.4009225861
592	0.4008646637
593	0.4008213562
594	0.4007808807
595	0.4007308777
596	0.4006865112
597	0.4006411865
598	0.4005867432
599	0.4005545593
600	0.4004937408
601	0.4004330139
602	0.4003935852
603	0.4003375641
604	0.4002987183
605	0.4002619476
606	0.40021698
607	0.4001744904
608	0.4001182465
609	0.4000736542
610	0.400036261
611	0.3999577209
612	0.3999037994
613	0.3998717163
614	0.3998260742
615	0.3997698608
616	0.3997364441
617	0.3996789246
618	0.3996491669
619	0.3995971405
620	0.399545932
621	0.3995134979
622	0.3994615967
623	0.3994279144
624	0.3993762421
625	0.3993333313
626	0.3993181946
627	0.3992871948
628	0.3992652161
629	0.399223938
630	0.399186145
631	0.399133728
632	0.3990857391
633	0.3990772614
634	0.3990386841
635	0.3990018372
636	0.3989773743
637	0.3989351257
638	0.3989302124
639	0.3988794739
640	0.3988332672
641	0.3988068451
642	0.3987728577
643	0.3987239746
644	0.3987199402
645	0.3986694244
646	0.3986430481
647	0.3985926178
648	0.3985612854
649	0.3985296753
650	0.3984834686
651	0.3984438995
652	0.3983976929
653	0.3983383118
654	0.3983200836
655	0.3982562286
656	0.3982063538
657	0.3981654022
658	0.3981198364
659	0.3980907898
660	0.3980142059
661	0.3979726593
662	0.3979394867
663	0.397899292
664	0.3978629425
665	0.3978184875
666	0.3977908386
667	0.3977308655
668	0.3976838745
669	0.3976343414
670	0.3975857727
671	0.3975341461
672	0.3974731537
673	0.3974330505
674	0.3973888397
675	0.3973423035
676	0.3973049042
677	0.397274707
678	0.3972225555
679	0.3971919159
680	0.3971701233
681	0.397136615
682	0.3970993103
683	0.3970551849
684	0.3970036499
685	0.3969580811
686	0.3969097809
687	0.396849408
688	0.3968046906
689	0.3967831299
690	0.3967532593
691	0.3966994568
692	0.396639917
693	0.396597821
694	0.3965572845
695	0.3965178772
696	0.3964775665
697	0.3964123871
698	0.3963579224
699	0.3962952423
700	0.3962598297
701	0.3962387878
702	0.3961924011
703	0.3961482971
704	0.3961005951
705	0.3960723602
706	0.3960195618
707	0.3959803467
708	0.395950592
709	0.3959032288
710	0.3958645142
711	0.3958397186
712	0.395814856
713	0.3957695892
714	0.3957388367
715	0.3957078796
716	0.3956679962
717	0.3956573364
718	0.3956174683
719	0.3955738831
720	0.3955711395
721	0.3955346985
722	0.3955022369
723	0.3954700653
724	0.3954373627
725	0.3953961029
726	0.39535065
727	0.3953009155
728	0.3952661072
729	0.3952205292
730	0.3951956299
731	0.3951524506
732	0.3951134064
733	0.3950819031
734	0.3950381042
735	0.3950025818
736	0.3949572784
737	0.3949236389
738	0.3948770691
739	0.3948296295
740	0.394786795
741	0.394750592
742	0.3947084625
743	0.3946606598
744	0.3946263031
745	0.3945807159
746	0.3945258911
747	0.3944908783
748	0.3944603119
749	0.3944274933
750	0.3944037262
751	0.3943460114
752	0.3943056915
753	0.3942894012
754	0.3942561096
755	0.3942342896
756	0.3941811157
757	0.3941600616
758	0.3941185181
759	0.394075647
760	0.3940265411
761	0.3939932678
762	0.3939313934
763	0.3939046509
764	0.3938457916
765	0.3938337646
766	0.3938061615
767	0.3937699097
768	0.3937349121
769	0.3937018768
770	0.393640033
771	0.3935910187
772	0.3935464752
773	0.3934994843
774	0.3934902802
775	0.3934340912
776	0.3934034424
777	0.3933547791
778	0.3933077759
779	0.3932815979
780	0.3932517303
781	0.3932218384
782	0.3931834595
783	0.3931631073
784	0.3931275635
785	0.3930810089
786	0.3930453827
787	0.3929893677
788	0.3929373749
789	0.3929019043
790	0.39285784
791	0.3928116302
792	0.392765451
793	0.3927307953
794	0.3926920135
795	0.3926723816
796	0.3926341919
797	0.3925774078
798	0.3925037018
799	0.3924618317
800	0.3924062836
801	0.392363623
802	0.3923157471
803	0.3922658325
804	0.392229007
805	0.3921971741
806	0.3921881775
807	0.3921338684
808	0.3920965332
809	0.3920738953
810	0.39202117
811	0.3919688934
812	0.3919345642
813	0.3919176086
814	0.3918857544
815	0.3918555511
816	0.3918188538
817	0.3917786835
818	0.3917146149
819	0.3916764526
820	0.3916312836
821	0.3916147919
822	0.3915876129
823	0.3915521606
824	0.3915075043
825	0.3914746948
826	0.3914552673
827	0.3914439941
828	0.3913911652
829	0.3913756958
830	0.3913372955
831	0.3913298065
832	0.3912986206
833	0.3912599609
834	0.3912148499
835	0.3911698486
836	0.3911414551
837	0.3911111786
838	0.3910913666
839	0.3910669006
840	0.391015976
841	0.3909704041
842	0.3909218872
843	0.3908716858
844	0.3908322052
845	0.3907863129
846	0.3907394684
847	0.3906973267
848	0.390660144
849	0.3906319855
850	0.3905968964
851	0.3905696075
852	0.3905242798
853	0.3904725922
854	0.3904493774
855	0.3904086182
856	0.3903614777
857	0.3903407074
858	0.3903115784
859	0.3902810242
860	0.3902459534
861	0.3902225891
862	0.3901994598
863	0.390160144
864	0.3901342224
865	0.3901181091
866	0.3900685181
867	0.3900342285
868	0.389991156
869	0.3899626495
870	0.3899011536
871	0.3898631195
872	0.389814624
873	0.3897878174
874	0.3897564484
875	0.3897137207
876	0.3896663422
877	0.3896302612
878	0.3895953003
879	0.3895537903
880	0.3895108124
881	0.3894707977
882	0.3894210876
883	0.3893795654
884	0.3893617615
885	0.3893278351
886	0.3892833984
887	0.3892529449
888	0.3892305847
889	0.389170993
890	0.3891377258
891	0.3891039307
892	0.3890540344
893	0.3890167877
894	0.3889890411
895	0.3889526306
896	0.3889068359
897	0.388857019
898	0.3888257935
899	0.3887822571
900	0.3887488708
901	0.3887075989
902	0.3886622375
903	0.388627002
904	0.3885767212
905	0.3885447327
906	0.3885057983
907	0.3884627167
908	0.3884172577
909	0.3883952271
910	0.3883348907
911	0.3882843811
912	0.3882452606
913	0.3881932129
914	0.3881525208
915	0.3881101013
916	0.3880734833
917	0.3880340332
918	0.3880056427
919	0.3879697205
920	0.3879145386
921	0.387892923
922	0.3878554535
923	0.3878087524
924	0.3877774384
925	0.3877334076
926	0.387725354
927	0.3877163422
928	0.3876741058
929	0.3876577576
930	0.3876099945
931	0.3875653412
932	0.3875258057
933	0.3875000336
934	0.3874722839
935	0.3874362457
936	0.3874054443
937	0.3873679596
938	0.3873339478
939	0.3872733948
940	0.3872654297
941	0.3872282166
942	0.3871858429
943	0.3871532898
944	0.3871225098
945	0.3870887543
946	0.387051828
947	0.3869965393
948	0.3869805725
949	0.3869432922
950	0.386940799
951	0.3869125183
952	0.3868729736
953	0.3868311798
954	0.3867985138
955	0.3867438263
956	0.3867323273
957	0.3866915985
958	0.3866746002
959	0.3866471039
960	0.3865958649
961	0.3865678009
962	0.3865323364
963	0.3865082428
964	0.3864582947
965	0.3864190643
966	0.3863790009
967	0.3863385895
968	0.3863032837
969	0.386266626
970	0.3862332825
971	0.3862004364
972	0.3861638367
973	0.3861331635
974	0.3860995941
975	0.3860772736
976	0.3860349854
977	0.3859789001
978	0.3859440704
979	0.385910318
980	0.3858678162
981	0.3858329865
982	0.3857971771
983	0.385733197
984	0.3856998993
985	0.385664856
986	0.3856346466
987	0.3855979492
988	0.3855432465
989	0.3855076904
990	0.3854488525
991	0.3854075806
992	0.3853722412
993	0.3853288055
994	0.385299057
995	0.3852639618
996	0.3852360596
997	0.3852038513
998	0.3851683289
999	0.3851304321
